Resource type,Cloud Provider ,Alert/Finding Name - VMSS,Equivalent in WIZ ?,Expected Configuration in WIZ ,Is the Rule even relevant  today?,If Obsolete : Reasons,Division/Project,No of supresisons for that particular rule as per Project,VM Ware DocumentationLink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EC2 VPC default security group should restrict all access,Default Security Group attached to a VPC should not allow all traffic,"This rule checks if the Default Security Group is attached to a VPC and is configured with unrestricted access to all traffic.
This rule fails when the default security group has a vpc_id with an ingress or egress rule allowing all IPv4 (0.0.0.0/0) or IPv6 (::/0) addresses.
It is not recommended to use the default security group in your VPC, especially not when it allows unrestricted inbound or outbound traffic.",Yes ,,,Commodity Insights - 27,https://docs.securestate.vmware.com/rule-docs/ec2-default-security-group-traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,AWS,EC2 VPC Peering should not have cross account connection,VPC peering communication should be only between AWS VPCs who are members of the same AWS account,"Ensure VPC peering communication is only between AWS VPCs, members of the same AWS account.
",Yes ,,,"Commodity Insights - 258
DTS-98
SPDJI -16",https://docs.securestate.vmware.com/rule-docs/aws-ec2-vpc-peering-cross-account-connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAF,AWS,"WAFv2 web ACL should be associated with a resource
",Not present in WIZ ,Not present in WIZ ,Yes ,,,"Commodity Insights = 21
DTS = 10
Ratings = 23
SPDJI = 1
",https://docs.securestate.vmware.com/rule-docs/aws-wafv2-web-acl-with-no-resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAF,AWS,"WAFv2 web ACL should have AWS Managed Core rule set
","Partially present in wiz, RULE NAME: WAF Web ACL AWS-managed rule group 'Known bad inputs' should be included","This provides protection against exploitation of a wide range of vulnerabilities, including high risk and commonly occurring vulnerabilities described in OWASP publications.",Yes ,,,"Commodity Insights = 46
DTS = 19
Ratings = 36
 ",https://docs.securestate.vmware.com/rule-docs/aws-wafv2-web-acl-with-no-aws-managed-core-rule-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAF,AWS,WAFv2 web ACL should have rules defined,WAF Web ACL default action is set to allow requests that do not match any rules,"WAFv2 web acl rules help identify web requests that we want to allow, block, or count",Yes ,,,"Commodity Insights = 4
DTS = 17
Ratings = 37
","https://docs.securestate.vmware.com/rule-docs/aws-wafv2-no-rules-defined-in-web-acl
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SecretsManager
",AWS,"Secrets Manager secret should be encrypted with a customer master key
",Secret should be encrypted using a customer-managed key,Use a customer-managed CMK to manage encryption so that only users in the account with access to the CMK can view the data.,Yes ,,,"Commodity Insights = 150
DTS = 2
SPDJI = 9",https://docs.securestate.vmware.com/rule-docs/secrets-manager-secret-not-encrypted-with-customer-managed-keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SecretsManager
",AWS,"Secrets Manager secret should have automatic rotation enabled
","1> Secret automatic rotation should be enabled    
           2> KMS key automatic rotation should be enabled",AWS Secrets Manager can automatically rotate the secret for a secured service or database. Improve the security of secrets like usernames and passwords by making sure they are changed periodically.,Yes ,,,"Commodity Insights = 1535
DTS = 285
Ratings = 7807
SPDJI = 73
Sustainable1 = 87
",https://docs.securestate.vmware.com/rule-docs/secrets-manager-secret-rotation-disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3 Bucket,AWS,"S3 bucket policy should restrict public get access
",S3 Bucket policy should not allow 'get' actions for all principals,The most secure practice is to disable read access by default and extend it only to users who require it.,Yes ,,,"Kensho =4
",https://docs.securestate.vmware.com/rule-docs/s3-world-open-policy-get,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3 Bucket,AWS,"S3 bucket should have block public access enabled
",S3 Bucket should have all 'Block Public Access' settings enabled                                                                                        ,"one or more Amazon S3 buckets that allow settings to be configured for public access. Although new buckets, access points, and objects don't allow public access by default, you can improve the security of your S3 buckers further by enabling the block public access feature and restrict user ability to modify policies and permissions related to public access.",Yes ,,,"Commodity Insights = 2
DTS = 3
Kensho =2
Market Intelligence = 1
",https://docs.securestate.vmware.com/rule-docs/aws-s3-block-all-public-access-is-not-enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3 Bucket,AWS,"S3 bucket should not give read access to all authenticated users
",S3 Bucket ACL should not allow read access to any authenticated user,Ensure Amazon S3 bucket read access to any AWS authenticated user is blocked and only specific users are provided permission to list objects in the storage bucket.,Yes ,,,"Kensho = 1
",https://docs.securestate.vmware.com/rule-docs/s3-authenticatedusers-read,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3 Bucket,AWS,"S3 bucket should not give read ACL access to all authenticated users
",S3 Bucket ACL should not allow global 'READ_ACP' permission,Ensure Amazon S3 bucket public read ACL access to any AWS authenticated user is blocked and only specific users are provided permission to read the storage bucket's ACL.,Yes ,,,"Kensho = 1
",https://docs.securestate.vmware.com/rule-docs/s3-authenticatedusers-read-acp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3 Bucket,AWS,"S3 bucket should restrict public read access
","S3 bucket should restrict public read access
",Ensure Amazon S3 bucket public access is blocked and only specific users are provided permission to list objects in the storage bucket,Yes ,,,"Kensho = 1
",https://docs.securestate.vmware.com/rule-docs/s3-allusers-read,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3 Bucket,AWS,"S3 bucket should restrict public read ACL access
",S3 Bucket ACL should not allow global 'READ_ACP' permission,Ensure Amazon S3 bucket public access is blocked and only specific users have permission to read ACL of the storage bucket.,Yes ,,,"Kensho = 1
",https://docs.securestate.vmware.com/rule-docs/s3-allusers-read-acp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3 Bucket,AWS,S3 bucket should be encrypted with customer-provided KMS key,S3 Bucket should be encrypted with KMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Route53,AWS,"Route53 health check should be configured for monitoring
",Not present in WIZ ,"
Configure Amazon Route53 hosted zone with CloudWatch to monitor health check status.",Yes ,,,"Commodity Insights = 173
DTS = 28
Kensho = 1
Market Intelligence = 101
Ratings = 4
SPDJI = 49
",https://docs.securestate.vmware.com/rule-docs/route53-healthcheck-not-monitored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Route53,AWS,Route53 hosted zone records should be configured with health check,Not present in WIZ ,Amazon Route53 health check monitors an endpoint specified either by IP address or domain name at regular intervals. Configure this feature to improve monitoring and response time for any service issues.,Yes ,,,"Commodity Insights = 55
DTS = 70
Kensho = 3
Market Intelligence = 56
Ratings = 78
SPDJI = 379
",https://docs.securestate.vmware.com/rule-docs/route53-hosted-zone-recordset-not-configured-for-healthcheck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Route53,AWS,Route53 hosted zone should be configured with query logging,Public Route 53 Hosted Zone CloudWatch query logging should be enabled,Configure Amazon Route53 hosted zone with query logging,Yes ,,,"Commodity Insights = 87
DTS = 2
Kensho = 42
Market Intelligence = 198
RateWatch = 56
SPDJI = 121
",https://docs.securestate.vmware.com/rule-docs/route53-hosted-zone-query-logging-not-configured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Route53,AWS,"Route53 hosted zone should contain a TXT record
",Not present in WIZ ,Add a TXT record containing your SPF information for each Route 53 hosted zone to avoid email spoofing.,Yes ,,,"Commodity Insights = 116
DTS = 115
GRA = 1
Kensho = 32
Market Intelligence = 205
Panjiva = 3
RateWatch = 55
Ratings = 139
SPDJI = 239
Sustainable1 = 6",https://docs.securestate.vmware.com/rule-docs/route53-hosted-zone-not-contain-txt-record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNS,AWS,"SNS topic policy should restrict access to required users
",SNS Topic policy should not allow all principals,Restrict SNS topic access to specific users.,Yes ,,,"Commodity Insights = 3
SPDJI = 4
",https://docs.securestate.vmware.com/rule-docs/sns-topic-publicly-accessible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNS,AWS,"SNS topic should be configured to log delivery failure notification status
",SNS Topic delivery status logging should be enabled ,Configure SNS topic to log delivery failure notification status,Yes ,,,"Commodity Insights = 810
DTS = 648
Ratings = 610
",https://docs.securestate.vmware.com/rule-docs/sns-topic-failure-delivery-logging-not-enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNS,AWS,"SNS topic should be encrypted with a customer master key
",SNS Topic should be encrypted with a customer-managed key,Use a customer-managed CMK to encrypt SNS topics so that only users in the account with access to the CMK can view or manage the data.,Yes ,,,"Commodity Insights = 172
DTS = 74
GRA = 5
Kensho = 3
Market Intelligence = 56
Panjiva = 1
Payer Account = 1
Ratings = 60
SPDJI = 128
Sustainable1 = 29
",https://docs.securestate.vmware.com/rule-docs/sns-topic-not-encrypted-with-customer-managed-key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNS ,AWS,SNS topic policy should require encrypted communications,"SNS Topic policy should enforce encryption of data in transit (SNS-009), SNS Topic should be encrypted with a customer-managed key (SNS-001), and SNS Topic Server-Side Encryption (SSE) should be enabled (SNS-002)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNS,AWS,"SNS topic should have encryption enabled
",SNS Topic Server-Side Encryption (SSE) should be enabled,SNS topic can provide encryption of data at rest to secure any data you have on disk.,Yes ,,,"Commodity Insights = 462
Ratings = 17
SPDJI = 148",https://docs.securestate.vmware.com/rule-docs/sns-topic-with-no-encryption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECR,AWS,ECR repository contents should be encrypted with a customer master key,Private ECR Repository should be encrypted with KMS,"This rule checks whether the Private ECR repository is not encrypted with a KMS key.
This rule fails if the EncryptionType field is not set to KMS, meaning the ECR repository is using KMS for at-rest encryption and not the default AES256 encryption.",Yes,,,"Commodity Insights - 2155
DTS -200
GRA-2
Kensho -233
MI - 3040
Panjiva -4
Ratings -8
Sustainable1 - 50
SPDJI -776",https://docs.securestate.vmware.com/rule-docs/ecr-repository-encryption-with-kms-key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECR,AWS,Private ECR Repository should scan images on push,Private ECR Repository should scan images on push,This rule checks whether the Private ECR (Elastic Container Registry) Repository scans images on push.,Yes,,,SPDJI - 2,https://docs.securestate.vmware.com/rule-docs/ecr-repository-scan-image-on-push-disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFS ,AWS,EFS file system should be encrypted,EFS should be encrypted at rest,This rule checks whether the EFS is encrypted at rest. The rule will fail if the 'Encrypted' field is disabled. EFS should be encrypted in order to protect data from unauthorized access and meet compliance requirements.,Yes,,,Commodity Insights - 4,https://docs.securestate.vmware.com/rule-docs/aws-efs-filesystem-encryption-not-enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFS ,AWS,EFS file system should be encrypted with a customer master key,EFS should use KMS cutomer-managed key to encrypt data at rest,This rule checks whether the EFS uses a customer-managed key to encrypt data at rest.,Yes,,,"Commodity Insights - 42
DTS -53
SPDJI -31",https://docs.securestate.vmware.com/rule-docs/aws-efs-filesystem-encryption-with-kms-key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
